Provinsi dg Rata2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-Rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai menurut Provinsi dan Lapangan Pekerjaan Utama di 17 Sektor (Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,B Pertambangan dan Penggalian,,,C Industri Pengolahan,,,D Pengadaan Listrik dan Gas,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,F Konstruksi,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,H Transportasi dan Pergudangan,,,I Penyediaan Akomodasi dan Makan Minum,,,J Informasi dan Komunikasi,,,K Jasa Keuangan dan Asuransi,,,L Real Estate,,,"M,N Jasa Perusahaan",,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,P Jasa Pendidikan,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,"R,S,T,U Jasa Lainnya",,,Total,,
,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
JAWA TENGAH,2382574,2499739,-,2431558,3449057,-,2165389,2235795,-,3103467,4131346,-,2558281,2602009,-,2958471,2980751,-,2007328,2075370,-,2848878,3351574,-,1726184,1868734,-,2343680,3023530,-,3528237,3559361,-,3031181,2991290,-,2832101,3066931,-,3993237,3846065,-,2507285,2574710,-,2906691,3348444,-,1478362,1551543,-,2441045,2528470,-
DI YOGYAKARTA,1629083,1990087,-,-,-,-,2177093,2134022,-,3630243,2239255,-,1724373,2325412,-,2493770,2668572,-,2333325,2484088,-,4086705,3129546,-,1962483,2115144,-,3987805,4312183,-,3413811,5533397,-,-,3611217,-,2677743,3167786,-,4756112,5211647,-,3328660,3744298,-,6555351,4024492,-,1655014,1472540,-,2914645,2924613,-
JAWA TIMUR,1649242,2323209,-,3094140,4025080,-,2813940,2912502,-,6079508,5120716,-,1972273,2153560,-,2699207,3117810,-,2199257,2385530,-,3326043,3906264,-,1996022,1959892,-,3425071,3606144,-,3757021,4526123,-,2848509,3782620,-,3079768,3658020,-,3913206,4481098,-,2041732,2456837,-,2766986,3303029,-,1784694,1911459,-,2625050,2899074,-
BANTEN,3278752,2310248,-,4359192,5360660,-,-,4429999,-,5643277,6796508,-,2655872,2458019,-,6300243,3796005,-,3444632,3631925,-,4281033,4430744,-,3227681,2822262,-,5306656,6601112,-,5361270,6524190,-,2650985,3346296,-,4636507,5191143,-,4306948,5516624,-,3661398,3272811,-,4182079,5676843,-,2524974,2027226,-,4168622,4062488,-
BALI,1474012,2306945,-,-,4154110,-,2321211,2363507,-,3048017,4754239,-,2113955,3204740,-,2983287,3124570,-,2796316,2653785,-,11582643,8407709,-,3585955,3664983,-,4339494,4344930,-,3739704,3903146,-,-,5198855,-,4198179,3834844,-,3869638,4886977,-,3532872,3720093,-,3552852,4039595,-,2748438,2768272,-,3617339,3639413,-
NUSA TENGGARA BARAT,1374466,2535105,-,3952863,3535185,-,1343696,1757890,-,10317694,3875488,-,583772,2770781,-,2648174,2625009,-,1939904,2115581,-,2293253,2577617,-,1814765,2308459,-,1521067,2322887,-,2975048,3986724,-,-,4260834,-,2667049,2828112,-,3248754,3737523,-,2389409,2411076,-,1475852,2574698,-,1249851,1332720,-,2377411,2569181,-
NUSA TENGGARA TIMUR,1496487,2223012,-,-,2749311,-,1162805,1385173,-,2567179,2669035,-,-,1968960,-,3077494,2253967,-,1657306,1988447,-,1482654,1863932,-,1855384,1598314,-,2064717,3042272,-,4677950,3416394,-,-,-,-,2811710,2773965,-,3165767,3711507,-,2507895,2722555,-,2186768,2731744,-,1601183,1461597,-,2341352,2674136,-
KALIMANTAN BARAT,-,2873379,-,-,3112074,-,-,3033943,-,-,3870053,-,-,4147490,-,-,3057439,-,-,2359574,-,-,3149551,-,-,1860241,-,-,2916679,-,-,4307032,-,-,3808101,-,-,2879945,-,-,3993072,-,-,3043549,-,-,3470610,-,-,1674115,-,-,2972111,-
KALIMANTAN TENGAH,3258777,3251951,-,3738074,4253897,-,3597888,3056312,-,-,3327363,-,-,3293592,-,3405909,3716973,-,2599553,2628652,-,3496528,3688061,-,1843049,1863206,-,3126628,3439777,-,3793122,4191035,-,-,3815629,-,4210631,3255630,-,3807420,3968065,-,2674274,3343922,-,3344359,3508598,-,1887723,1934308,-,3265545,3451676,-
KALIMANTAN SELATAN,3035775,2937079,-,5751119,4975706,-,2843292,2691398,-,3559309,4572661,-,3179460,3145805,-,2830726,2849386,-,2698785,2622960,-,3218662,3486402,-,2137971,2013760,-,3574904,2621703,-,4254088,4342735,-,4455510,4003719,-,3320489,3324262,-,3604765,4023449,-,2554005,2965062,-,3752929,3165500,-,1744976,1514354,-,3269734,3164480,-
