Provinsi,Produk Domestik Regional Bruto per Kapita HK (Ribu Rp)
Aceh,26062
Sumatera Utara,37781
Sumatera Barat,32167
Riau,80774
Jambi,44515
Sumatera Selatan,39724
Bengkulu,24238
Lampung,27974
Kepulauan Bangka Belitung,38743
Kepulauan Riau,89613
DKI Jakarta,183598
Jawa Barat,32247
Jawa Tengah,28248
DI Yogyakarta,30411
Jawa Timur,42636
Banten,39790
Bali,34481
Nusa Tenggara Barat,18647
Nusa Tenggara Timur,13264
Kalimantan Barat,26735
Kalimantan Tengah,39856
Kalimantan Selatan,34133
Kalimantan Timur,131239
Kalimantan Utara,92393
Sulawesi Utara,36369
Sulawesi Tengah,56577
Sulawesi Selatan,38975
Sulawesi Tenggara,37956
Gorontalo,25269
Sulawesi Barat,23061
Maluku,17717
Maluku Utara,30526
Papua Barat,53517
Papua Barat Daya,...
Papua,39113
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
