Provinsi,Produk Domestik Regional Bruto per Kapita HK (Ribu Rp)
Aceh,27684
Sumatera Utara,40577
Sumatera Barat,34168
Riau,84903
Jambi,47501
Sumatera Selatan,42900
Bengkulu,25781
Lampung,29891
Kepulauan Bangka Belitung,39701
Kepulauan Riau,96157
DKI Jakarta,201315
Jawa Barat,34801
Jawa Tengah,30535
DI Yogyakarta,33140
Jawa Timur,46295
Banten,42774
Bali,37937
Nusa Tenggara Barat,19379
Nusa Tenggara Timur,13798
Kalimantan Barat,28544
Kalimantan Tengah,42240
Kalimantan Selatan,36682
Kalimantan Timur,141088
Kalimantan Utara,98689
Sulawesi Utara,39816
Sulawesi Tengah,68001
Sulawesi Selatan,41860
Sulawesi Tenggara,40812
Gorontalo,26836
Sulawesi Barat,24672
Maluku,19124
Maluku Utara,40684
Papua Barat,85513
Papua Barat Daya,39663
Papua,48642
Papua Selatan,34984
Papua Tengah,71607
Papua Pegunungan,9406
