Provinsi,Produk Domestik Regional Bruto per Kapita HK (Ribu Rp)
Aceh,25356
Sumatera Utara,36582
Sumatera Barat,31265
Riau,78319
Jambi,42898
Sumatera Selatan,38182
Bengkulu,23546
Lampung,27150
Kepulauan Bangka Belitung,37621
Kepulauan Riau,86585
DKI Jakarta,175005
Jawa Barat,30935
Jawa Tengah,27093
DI Yogyakarta,29116
Jawa Timur,40780
Banten,38339
Bali,33124
Nusa Tenggara Barat,17716
Nusa Tenggara Timur,13077
Kalimantan Barat,25794
Kalimantan Tengah,37955
Kalimantan Selatan,32895
Kalimantan Timur,127368
Kalimantan Utara,88974
Sulawesi Utara,34776
Sulawesi Tengah,49690
Sulawesi Selatan,37501
Sulawesi Tenggara,36570
Gorontalo,24594
Sulawesi Barat,22898
Maluku,17053
Maluku Utara,25191
Papua Barat,53324
Papua Barat Daya,...
Papua,36420
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
